Name,NSE Code,Industry,Sales,Sales preceding 12months,Net profit,Net profit preceding 12months,EBIT,EBIT last year,EBIDT last year,EPS,OPM,NPM last year,Return on capital employed,Market Capitalization,Sales Growth %,Net Profit Growth %,Market Cap to Sales,Market Cap to Net Profit,Profitability Category
AFLOAT Enterpris,__NA__,Trading,1.89,,0.03,,0.08,0.08,0.09,0.07,-18.52,1.59,1.57,5.47,,,2.8941798941798944,182.33333333333334,Low Profitability
Agarwal Float,AGARWALFT,Trading,78.91,,0.19,,1.45,1.45,1.56,0.26,1.15,0.24,5.99,47.19,,,0.5980230642504119,248.36842105263156,Low Profitability
Agarwal Fortune,__NA__,Trading,7.38,8.21,0.1,0.0,0.1,0.1,0.1,0.28,-0.81,1.36,19.23,8.07,-10.109622411693067,,1.0934959349593496,80.7,Low Profitability
Agarwal Indl.,AGARIND,Petrochemicals,2125.3,2008.39,109.22,99.51,147.84,147.84,177.94,73.02,8.13,5.14,20.63,1745.57,5.821080567021349,9.757813285096969,0.8213287535877287,15.98214612708295,Moderate Profitability
AGI Greenpac,AGI,Packaging,2420.88,2476.33,251.33,295.54,426.95,426.95,588.28,38.85,23.3,10.38,17.91,4569.91,-2.23920075272681,-14.9590579955336,1.8877061233931463,18.18290693510524,Moderate Profitability
AGI Infra,__NA__,Construction,292.33,278.87,52.09,56.07,72.96,72.96,84.6,42.64,25.84,17.82,25.0,1028.66,4.8266217233836475,-7.098270019618329,3.5188314575992887,19.74774428873104,High Profitability
Agni Green,AGNI,Electric Equipment,35.27,,0.38,,2.2,2.2,2.43,0.19,5.9,1.08,5.48,102.26,,,2.8993478877232777,269.10526315789474,Low Profitability
Agro Phos India,AGROPHOS,Fertilizers,107.14,128.09,-5.26,-2.83,-3.77,-3.77,-2.04,-2.59,-2.49,-4.91,-4.87,96.13,-16.35568740729175,85.86572438162543,0.8972372596602576,-18.275665399239543,Loss-making
Agro Tech Foods.,ATFL,Food - Processing - Indian,759.67,783.24,10.41,13.95,14.51,14.51,35.67,4.27,4.5,1.11,2.66,1770.45,-3.0092947244778165,-25.3763440860215,2.3305514236444775,170.0720461095101,Low Profitability
AGS Transact,AGSTRA,Computers - Hardware,1470.63,1546.18,-80.09,-91.0,22.35,22.35,235.58,-6.55,13.43,-5.45,1.34,980.35,-4.886235755216077,-11.989010989010985,0.6666190680184683,-12.240604320139843,Loss-making
Ahasolar Technol,__NA__,Trading,42.04,,0.04,,0.06,0.06,0.36,0.13,-0.29,0.1,1.51,102.03,,,2.42697431018078,2550.75,Low Profitability
Ahimsa Industrie,AHIMSA,Plastics Products,14.55,,-0.93,,-0.7,-0.7,0.06,-1.7,-1.37,-6.25,-4.17,10.35,,,0.7113402061855669,-11.129032258064516,Loss-making
Ahlada Engineers,AHLADA,Steel - Medium / Small,259.52,199.32,13.65,10.24,24.78,24.78,36.78,10.56,14.03,5.26,14.64,149.89,30.20268914308649,33.30078125,0.5775662762022195,10.98095238095238,Moderate Profitability
Ahluwalia Contr.,AHLUCONT,Construction,3855.3,3554.69,374.83,247.83,357.61,357.61,424.47,55.96,10.06,6.02,23.91,8333.25,8.456714931541152,51.24480490658918,2.1615049412497083,22.232078542272497,Moderate Profitability
AIA Engineering,AIAENG,Castings & Forgings,4853.76,4977.11,1136.99,1144.17,1516.4,1516.4,1616.67,120.39,27.48,23.42,22.75,39833.86,-2.4783458673808587,-0.6275291259166088,8.20680462157173,35.03448579143176,High Profitability
Aik Pipes & Poly,__NA__,Plastics Products,37.27,,3.41,,4.37,4.37,4.67,5.36,12.29,9.15,22.99,80.81,,,2.1682318218406222,23.697947214076247,Moderate Profitability
Aimco Pesticides,__NA__,Pesticides / Agrochemicals - Indian,207.41,212.16,-10.05,-10.97,-10.68,-10.68,-6.41,-10.49,-3.61,-4.85,-18.79,95.83,-2.2388763197586727,-8.386508659981768,0.46203172460344244,-9.535323383084576,Loss-making
Aimtron,AIMTRON,Electronics - Components,92.98,,13.6,,20.27,20.27,24.38,9.06,25.41,14.63,39.38,1169.71,,,12.58023230802323,86.00808823529412,Moderate Profitability
Aion-Tech Soluti,GOLDTECH,Computers - Software - Medium / Small,93.28,96.45,-2.18,-2.16,-0.63,-0.63,1.08,-0.63,-0.18,-2.34,-0.78,500.4,-3.2866770347330236,0.9259259259259267,5.364493996569468,-229.5412844036697,Loss-making
Airan,AIRAN,Computers - Software - Medium / Small,105.5,101.46,12.89,10.97,17.18,17.18,22.64,1.0,18.57,12.22,13.09,392.82,3.9818647742952953,17.502278942570644,3.7234123222748816,30.474786656322728,Moderate Profitability
Airo Lam,AIROLAM,Miscellaneous,205.19,206.9,8.29,8.91,17.25,17.25,21.11,5.53,9.58,4.04,12.95,215.97,-0.8264862252295833,-6.958473625140303,1.0525366733271602,26.0518697225573,Low Profitability
Ajanta Pharma,AJANTPHARM,Pharmaceuticals - Indian - Formulations,4208.71,4036.47,816.17,735.7,1110.02,1110.02,1245.42,64.82,27.85,19.2,31.6,28855.94,4.267094763493851,10.937882288976471,6.856243361980274,35.355305879902474,High Profitability
Ajanta Soya,__NA__,Miscellaneous,1022.16,1059.78,4.03,0.98,9.37,9.37,12.09,0.5,0.29,0.39,7.27,257.37,-3.5497933533374852,311.2244897959184,0.25179032636769194,63.86352357320099,Low Profitability
Ajcon Global,__NA__,Finance & Investments,16.07,15.66,1.3,0.95,2.42,2.42,2.81,2.04,17.42,8.09,7.06,19.94,2.6181353767560673,36.842105263157904,1.240821406347231,15.338461538461539,Moderate Profitability
Ajmera Realty,AJMERA,Construction,699.96,582.41,103.92,89.24,207.34,207.34,209.05,28.98,28.74,14.85,11.72,2419.74,20.183375972253238,16.45002241147468,3.4569689696554082,23.28464203233256,Moderate Profitability
Ajooni Biotech,AJOONI,Food - Processing - Indian,80.11,101.79,2.16,1.78,3.56,3.56,4.43,0.12,2.8,2.7,7.76,93.34,-21.298752333235097,21.348314606741578,1.1651479216077893,43.21296296296296,Low Profitability
Ajwa Fun World,__NA__,Recreation / Amusement Parks,2.61,2.85,0.11,0.28,0.3,0.3,0.5,0.17,19.16,4.21,12.15,24.53,-8.421052631578954,-60.71428571428572,9.398467432950193,223.0,Low Profitability
Akanksha Power,AKANKSHA,Electric Equipment,56.53,,2.79,,5.98,5.98,6.56,1.44,9.96,4.94,,243.79,,,4.312577392534937,87.37992831541219,Low Profitability
Akar Auto Indust,__NA__,Auto Ancillaries,373.82,380.87,5.49,7.32,20.09,20.09,24.13,5.09,6.39,1.47,17.71,110.59,-1.8510252842177148,-25.0,0.29583756888341983,20.143897996357012,Low Profitability
Akash InfraProj.,AKASH,Construction,59.52,57.59,0.23,-2.89,4.73,4.73,5.73,0.14,5.43,0.39,2.97,56.44,3.351276263240145,-107.9584775086505,0.9482526881720429,245.39130434782606,Low Profitability
AKG Exim,AKG,Trading,183.59,195.64,1.54,2.18,3.22,3.22,3.43,0.51,1.43,0.84,4.95,70.85,-6.159272132488235,-29.357798165137616,0.3859142654828694,46.0064935064935,Low Profitability
AKI India,AKI,Leather / Leather Products,64.84,61.29,1.36,1.02,3.66,3.66,5.51,0.16,3.87,2.1,6.0,218.26,5.792135748082892,33.33333333333334,3.3661320172732876,160.48529411764704,Low Profitability
AKM Creations,__NA__,Trading,7.33,,0.26,,0.23,0.23,0.26,0.21,-2.05,3.55,1.57,158.36,,,21.6043656207367,609.0769230769231,Low Profitability
Akme Fintrade,AFIL,Finance & Investments,69.58,,15.8,,47.65,47.65,48.23,4.99,69.32,22.65,12.72,483.08,,,6.942799655073297,30.574683544303795,High Profitability
Aksh Optifibre,AKSHOPTFBR,Cables - Telephone,220.28,249.56,-71.31,-24.38,-3.65,-3.65,17.58,-4.38,7.2,-7.13,-1.82,132.59,-11.732649463054976,192.4938474159147,0.6019157435990558,-1.8593465152152573,Loss-making
Akshar Spintex,AKSHAR,Textiles - Cotton/Blended,174.96,164.21,3.46,5.94,6.34,6.34,10.68,0.12,4.41,1.98,10.46,79.2,6.546495341331222,-41.75084175084176,0.45267489711934156,22.890173410404625,Low Profitability
AksharChem (I),AKSHARCHEM,Dyes And Pigments,302.05,285.0,-18.68,-14.62,-11.83,-11.83,1.95,-23.25,0.5,-6.18,-3.85,260.92,5.982456140350881,27.770177838577297,0.8638304916404569,-13.967880085653105,Loss-making
