Name,NSE Code,Industry,Sales,Sales preceding 12months,Net profit,Net profit preceding 12months,EBIT,EBIT last year,EBIDT last year,EPS,OPM,NPM last year,Return on capital employed,Market Capitalization,Sales Growth %,Net Profit Growth %,Market Cap to Sales,Market Cap to Net Profit,Profitability Category
Nila Spaces,NILASPACES,Construction,90.71,58.42,13.42,8.47,20.75,20.75,21.97,0.34,11.97,14.79,17.09,397.04,55.27216706607325,58.44155844155843,4.377025686252894,29.58569299552906,Moderate Profitability
NILE,__NA__,Mining / Minerals / Metals,837.62,880.58,31.6,33.67,43.64,43.64,46.49,105.27,5.52,3.77,19.48,402.3,-4.878602739103776,-6.1479061479061485,0.4802893913707887,12.731012658227847,Low Profitability
Nilkamal Ltd,NILKAMAL,Plastics Products,3196.33,3191.02,122.43,135.09,195.81,195.81,311.22,81.92,9.18,3.71,11.24,2949.68,0.1664044725510948,-9.371530091050408,0.9228333745264099,24.09278771542922,Low Profitability
Nimbus Projects,__NA__,Construction,5.87,1.52,0.01,-13.78,6.26,6.26,6.48,0.01,-57.24,0.17,,53.62,286.1842105263157,-100.07256894049348,9.134582623509369,5362.0,Low Profitability
NINtec Systems,NINSYS,Computers - Software - Medium / Small,64.74,55.84,14.07,11.32,18.69,18.69,19.79,7.57,28.02,21.73,67.66,920.7,15.938395415472764,24.293286219081274,14.22150139017609,65.43710021321962,High Profitability
Nippon Life Ind.,NAM-INDIA,Finance & Investments,2035.65,1523.29,1107.32,962.42,1358.72,1358.72,1387.86,17.58,68.09,54.4,36.24,42262.88,33.63509246433707,15.055796845452088,20.7613686046226,38.16681718021891,High Profitability
Niraj Cement,NIRAJ,Construction,470.22,649.69,10.28,4.75,22.49,22.49,24.15,2.56,3.49,3.58,12.67,207.6,-27.623943727008264,116.42105263157893,0.4414954702054357,20.19455252918288,Low Profitability
Nirav Commercial,__NA__,Aluminium and Aluminium Products,11.33,11.94,0.32,0.57,0.51,0.51,0.65,8.16,5.74,2.82,,27.57,-5.108877721943044,-43.85964912280701,2.433362753751103,86.15625,Low Profitability
Nirlon,__NA__,Construction,603.12,597.89,205.56,204.08,425.02,425.02,481.44,22.81,79.12,34.08,27.73,3874.25,0.8747428456739564,0.7252058016464081,6.4236801963125085,18.847295193617434,High Profitability
Nirman Agri,NIRMAN,Miscellaneous,63.34,,10.4,,10.95,10.95,11.27,17.45,17.79,16.42,33.18,138.31,,,2.183612251341964,13.299038461538462,High Profitability
Nirmitee Robotic,__NA__,Miscellaneous,6.02,,-0.97,,-0.59,-0.59,-0.42,-2.69,-7.48,-16.11,-9.1,44.33,,,7.363787375415282,-45.70103092783505,Loss-making
Nitco,NITCO,Trading,325.23,359.23,-162.97,-151.7,-67.17,-67.17,-38.01,-22.68,-13.18,-50.11,-12.12,573.87,-9.464688361217046,7.429136453526705,1.7645051194539247,-3.5213229428729216,Loss-making
Nitin Castings,__NA__,Castings & Forgings,148.75,139.5,12.13,10.51,18.02,18.02,19.71,23.59,10.33,9.41,24.62,442.13,6.630824372759856,15.413891531874416,2.9723025210084035,36.44929925803792,Moderate Profitability
Nitin Spinners,NITINSPIN,Textiles - Cotton/Blended,2905.65,2759.74,131.52,130.89,260.83,260.83,379.3,23.39,12.98,4.53,11.61,2014.08,5.2870922623145775,0.4813201925280953,0.693159878168396,15.313868613138684,Low Profitability
Nitiraj Engineer,NITIRAJ,Electronics - Components,100.44,59.24,12.04,4.45,16.03,16.03,19.39,11.75,18.31,11.99,21.28,258.79,69.54760297096556,170.56179775280896,2.5765631222620473,21.494186046511633,Moderate Profitability
Nitta Gelatin,__NA__,Chemicals,532.73,547.95,84.11,87.46,118.77,118.77,133.92,91.02,23.04,15.79,34.82,746.36,-2.777625695775167,-3.830322433112274,1.4010098924408236,8.873617881345856,High Profitability
Nivaka Fashions,__NA__,Trading,2.26,2.52,-0.26,-0.05,-0.07,-0.07,0.49,-0.03,21.68,-11.5,-0.57,44.57,-10.317460317460327,420.0,19.721238938053098,-171.4230769230769,Loss-making
Niyogin Fintech,__NA__,Finance & Investments,195.77,179.32,-24.84,-24.38,-21.47,-21.47,-13.37,-1.76,-7.97,-12.69,-6.83,653.46,9.173544501449932,1.8867924528301925,3.337896511212137,-26.306763285024157,Loss-making
NLC India,NLCINDIA,Power Generation And Supply,12999.03,14592.46,1867.56,2590.19,3730.94,3730.94,5555.83,13.37,27.2,14.37,9.13,33029.67,-10.919543380622585,-27.89872557611604,2.54093343887967,17.686002056158838,Moderate Profitability
NMDC,NMDC,Mining / Minerals / Metals,21307.85,20669.91,5570.87,6432.67,8313.05,8313.05,8663.71,19.02,34.23,27.08,31.92,73147.9,3.0863220981610406,-13.397236295348591,3.4329085290163013,13.130426665852909,High Profitability
NMDC Steel,NSLNISP,Steel - Medium / Small,3048.99,1203.26,-1560.32,-699.49,-1870.43,-1870.43,-1317.63,,-47.13,-51.17,-8.69,16836.35,153.39411266060534,123.06537620266194,5.521943332054221,-10.790318652584086,Loss-making
NMS Global,__NA__,Miscellaneous,24.83,20.71,0.33,0.98,1.3,1.3,1.83,1.1,6.81,1.37,6.83,22.09,19.893771125060344,-66.3265306122449,0.8896496173983085,66.93939393939394,Low Profitability
NOCIL,NOCIL,Chemicals,1444.67,1480.89,133.0,119.78,181.61,181.61,234.4,7.98,13.5,9.21,11.1,4686.93,-2.445826496228621,11.036900985139422,3.244291083776918,35.24007518796993,Moderate Profitability
Norben Tea,NORBTEAEXP,Tea,6.58,6.13,-1.7,-1.14,-0.61,-0.61,-0.03,-1.45,-0.91,-25.84,-2.57,15.57,7.340946166394782,49.12280701754387,2.3662613981762917,-9.158823529411766,Loss-making
Norris Medicines,__NA__,Pharmaceuticals - Indian - Bulk Drugs & Formln,5.64,5.37,-1.19,-1.9,-0.73,-0.73,-0.16,-1.19,-3.37,-21.1,-8.66,12.28,5.027932960893847,-37.368421052631575,2.1773049645390072,-10.319327731092438,Loss-making
North Eastn.Car.,NECCLTD,Miscellaneous,335.12,316.66,8.02,6.28,19.23,19.23,22.36,0.84,6.19,2.39,7.38,246.34,5.829596412556047,27.70700636942674,0.735079971353545,30.71571072319202,Low Profitability
Northern Spirits,__NA__,Trading,1235.31,,16.57,,31.42,31.42,31.65,10.32,2.5,1.34,17.6,313.96,,,0.2541548275331698,18.947495473747736,Low Profitability
Northlink Fiscal,__NA__,Finance & Investments,0.5,0.62,-0.15,-0.16,-0.03,-0.03,0.08,-0.29,16.0,-30.0,-0.46,35.77,-19.35483870967742,-6.250000000000005,71.54,-238.4666666666667,Loss-making
Nova Agritech,NOVAAGRI,Fertilizers,252.47,,28.31,,42.4,42.4,44.36,3.06,17.55,11.21,21.79,602.87,,,2.387887669822157,21.29530201342282,Moderate Profitability
Nova Iron &Steel,__NA__,Steel - Sponge Iron,603.5,656.59,11.87,-6.92,35.58,20.22,30.13,3.28,5.91,-0.22,7.21,87.81,-8.085715591160394,-271.53179190751445,0.14550124275062137,7.397641112047179,Loss-making
Novartis India,__NA__,Trading,335.07,330.03,85.19,95.53,124.33,124.33,126.94,34.5,19.48,25.42,16.05,2715.99,1.5271338969184682,-10.823824976447192,8.105739099292684,31.881558868411783,High Profitability
Novateor Resear.,__NA__,Personal Care - Indian,1.21,,0.03,,0.08,0.08,0.16,0.06,-27.27,2.48,0.92,21.15,,,17.479338842975206,705.0,Low Profitability
NPR Finance,__NA__,Finance & Investments,9.47,11.13,1.09,0.87,0.99,0.99,1.14,1.82,10.67,3.59,1.91,15.35,-14.914645103324348,25.287356321839088,1.6209081309398097,14.082568807339449,Low Profitability
NRB Bearings,NRBBEARING,Bearings,1094.03,1121.86,241.51,244.71,150.71,150.71,194.03,24.71,15.89,8.98,14.59,3414.09,-2.480701691833199,-1.3076703036247057,3.120654826650092,14.136433273984515,Moderate Profitability
NRB Indl Bearing,NIBL,Bearings,73.11,76.27,-26.17,-22.54,-15.01,-15.01,-6.64,-10.8,-11.6,-35.8,-13.05,90.81,-4.143175560508714,16.104702750665496,1.2421009437833401,-3.4700038211692776,Loss-making
NTC Industries,__NA__,Cigarettes,42.13,39.76,5.06,6.53,9.99,9.99,12.09,4.24,11.01,16.21,8.18,157.72,5.960764587525163,-22.51148545176111,3.743650605269404,31.169960474308304,High Profitability
NTPC,NTPC,Power Generation And Supply,178500.88,175131.74,21332.45,19713.95,40189.86,40189.86,56393.49,21.46,28.62,11.95,10.37,360425.1,1.9237746395941786,8.20992241534548,2.0191782808017527,16.89562614702015,Moderate Profitability
Nucleus Soft.,NUCLEUS,Computers - Software - Medium / Small,826.45,822.39,191.6,207.11,223.68,223.68,238.23,71.56,26.67,20.19,31.98,3796.47,0.49368304575688654,-7.488774081406024,4.5937080283138725,19.81456158663883,High Profitability
Nupur Recyclers,NRL,Trading,180.82,156.13,10.55,10.75,10.03,10.03,10.08,1.54,2.24,3.94,12.85,596.69,15.813744956126305,-1.860465116279063,3.2999115142130298,56.55829383886256,Low Profitability
Nureca,NURECA,Trading,91.93,96.18,-1.79,0.82,-7.92,-7.92,-5.56,-1.79,-11.1,-6.64,-4.02,270.55,-4.418798086920357,-318.2926829268293,2.9430001087784183,-151.14525139664804,Loss-making
Nutech Global,__NA__,Trading,36.49,35.49,-0.08,-0.24,1.07,1.07,1.42,-0.25,3.86,-0.22,7.06,6.4,2.817695125387433,-66.66666666666666,0.1753905179501233,-80.0,Loss-making
Nutricircle,__NA__,Food - Processing - Indian,2.84,3.49,-1.25,-1.08,-1.24,-1.24,-1.24,-45.99,-44.37,-44.01,-125.89,7.12,-18.624641833810898,15.740740740740733,2.507042253521127,-5.696,Loss-making
Nuvama Wealth,NUVAMA,Finance & Investments,3150.99,2836.4,624.84,529.5,1431.75,1431.75,1568.17,177.1,49.49,19.83,16.54,18031.91,11.09117190805245,18.00566572237961,5.722617336138801,28.85844376160297,High Profitability
Nuvoco Vistas,NUVOCO,Cement - North India,10732.89,10727.95,147.37,248.08,738.56,738.56,1657.2,4.13,15.13,1.37,5.47,13166.54,0.046047940193594206,-40.59577555627217,1.2267469432743652,89.34342132048586,Low Profitability
Nyssa Corp.,__NA__,Finance & Investments,7.83,7.62,2.34,2.39,3.21,3.21,3.21,0.78,32.95,29.89,10.64,20.25,2.755905511811023,-2.092050209205032,2.586206896551724,8.653846153846155,High Profitability
O N G C,ONGC,Oil Drilling / Allied Services,643037.01,640333.1,57100.84,51519.02,88690.67,88690.67,117453.41,39.13,15.99,9.07,18.44,343756.16,0.42226616115893945,10.8344840410396,0.5345822318998403,6.020159423223896,Moderate Profitability
Oasis Securities,__NA__,Finance & Investments,2.99,3.28,1.42,2.27,1.78,1.78,1.84,7.68,33.78,47.49,15.25,34.6,-8.841463414634134,-37.44493392070485,11.57190635451505,24.366197183098596,High Profitability
Oberoi Realty,OBEROIRLTY,Construction,4495.79,4142.45,1926.6,1618.84,2476.61,2476.61,2524.13,52.99,54.05,39.09,15.24,63826.74,8.529734818766675,19.011143781967334,14.19700208417208,33.129212083463095,High Profitability
Objectone Inform,__NA__,Computers - Software - Medium / Small,20.41,18.31,-0.24,2.48,-1.28,-1.28,-0.96,-0.23,-5.59,-6.32,,15.18,11.469142545057354,-109.6774193548387,0.7437530622243997,-63.25,Loss-making
Octavius Plant.,__NA__,Trading,24.29,24.23,1.78,1.25,2.1,2.1,2.13,5.93,8.11,7.33,11.06,23.19,0.24762690879075,42.400000000000006,0.9547138740222315,13.02808988764045,Moderate Profitability
Octaware Tech.,__NA__,Computers - Software - Medium / Small,15.9,,-1.58,,-1.51,-1.51,-1.38,-4.43,-10.06,-9.94,-9.69,21.27,,,1.3377358490566038,-13.462025316455696,Loss-making
Odyssey Corpn.,__NA__,Finance & Investments,32.61,37.5,3.55,3.0,3.7,3.7,3.91,0.41,-0.03,10.89,4.61,44.15,-13.040000000000001,18.333333333333325,1.3538791781662067,12.43661971830986,Moderate Profitability
Odyssey Tech.,__NA__,Computers - Software - Medium / Small,26.33,24.97,4.45,4.02,5.98,5.98,8.31,2.82,23.62,16.9,12.05,233.16,5.446535843011612,10.69651741293534,8.855298139004939,52.39550561797753,High Profitability
Oil India,OIL,Oil Drilling / Allied Services,32466.03,31170.8,6980.45,6627.25,12175.14,12175.14,14304.12,58.42,38.51,26.63,17.73,78234.38,4.155267108960949,5.329510732204154,2.409730416684763,11.20764134117428,High Profitability
Olatech Solution,__NA__,Computers - Software - Medium / Small,15.16,,3.02,,4.28,4.28,4.38,6.98,28.76,19.92,91.06,64.69,,,4.267150395778364,21.420529801324502,High Profitability
Olectra Greentec,OLECTRA,Automobiles - LCVs / HCVs,1154.14,1241.23,78.65,91.28,148.82,148.82,185.5,9.36,14.37,6.81,14.79,14642.39,-7.01642725361133,-13.836546888694123,12.686840417973555,186.1715193897012,Moderate Profitability
Olympia Industri,__NA__,Trading,189.05,185.96,0.79,0.93,5.76,5.76,6.92,1.31,3.41,0.42,5.9,34.26,1.6616476661647683,-15.053763440860216,0.18122189896852683,43.36708860759493,Low Profitability
Olympic Cards,__NA__,Printing & Stationery,11.5,12.71,-1.03,-3.84,1.2,1.2,2.72,-0.63,-24.43,-8.96,3.3,5.15,-9.520062942564914,-73.17708333333333,0.44782608695652176,-5.0,Loss-making
Om Infra,OMINFRAL,Engineering - Turnkey Services,1113.82,1164.77,47.27,51.75,121.84,121.84,128.48,4.9,8.02,4.24,14.17,1565.86,-4.374254144595074,-8.657004830917868,1.405846546120558,33.125872646498834,Low Profitability
Omax Autos,OMAXAUTO,Auto Ancillaries,355.26,343.53,11.66,2.01,21.3,21.3,43.07,5.45,7.15,0.07,5.19,318.07,3.4145489476901636,480.0995024875623,0.8953161065135394,27.278730703259004,Low Profitability
Omaxe,OMAXE,Construction,1614.32,1368.22,-405.91,-366.72,-376.73,-376.73,-322.47,-22.01,-21.26,-25.14,-22.15,2160.07,17.986873456023147,10.686627399650957,1.338068041032757,-5.32154911187209,Loss-making
Omfurn India,OMFURN,Miscellaneous,80.29,,3.66,,7.07,7.07,8.45,3.11,9.17,4.56,19.06,79.42,,,0.98916427948686,21.69945355191257,Low Profitability
Omkar Pharmachem,__NA__,Miscellaneous,0.54,0.56,0.19,0.2,0.29,0.29,0.29,0.19,53.7,35.19,3.02,24.2,-3.571428571428574,-5.000000000000004,44.81481481481481,127.36842105263158,High Profitability
Omkar Spl.Chem.,OMKARCHEM,Chemicals,19.36,22.98,-13.22,-12.6,-6.89,-6.54,-4.75,-6.42,-32.28,-54.87,-10.53,14.32,-15.752828546562231,4.920634920634929,0.7396694214876034,-1.0832072617246595,Loss-making
Omnipotent,__NA__,Trading,33.6,,0.16,,0.14,0.14,0.54,0.26,-1.4,0.48,0.66,5.74,,,0.17083333333333334,35.875,Low Profitability
Omnitex Industri,__NA__,Trading,1.7,1.45,3.52,1.62,1.51,1.51,1.53,8.37,-7.06,99.41,2.28,67.2,17.24137931034483,117.28395061728394,39.529411764705884,19.09090909090909,High Profitability
On Door Concepts,ONDOOR,Trading,233.52,,6.06,,5.44,5.44,9.5,10.73,4.07,2.62,10.39,254.24,,,1.0887290167865706,41.95379537953796,Low Profitability
One 97,PAYTM,Miscellaneous,9977.8,10045.2,-1422.4,-1039.3,-1360.4,-1360.4,-624.7,-22.3,-11.74,-14.2,-10.19,26489.11,-0.670967228128872,36.861348984893695,2.654804666359318,-18.622827615298085,Loss-making
One Global Serv,__NA__,Healthcare,63.01,44.05,7.11,3.57,9.5,9.5,9.73,10.01,15.44,11.28,84.94,101.77,43.04199772985244,99.15966386554624,1.6151404538962069,14.31364275668073,Moderate Profitability
One Point One,ONEPOINT,Computers - Software - Medium / Small,169.76,153.09,21.38,17.68,35.2,35.2,56.75,1.04,30.25,12.59,22.6,1296.92,10.889019530994831,20.927601809954748,7.639726672950048,60.66043030869972,Moderate Profitability
OneClick Logisti,OLIL,Miscellaneous,28.73,,0.66,,0.99,0.99,1.09,1.83,3.41,2.3,46.7,28.88,,,1.0052210233205707,43.75757575757575,Low Profitability
Onesource Ideas,__NA__,Finance & Investments,8.1,4.34,0.04,0.23,0.04,0.04,0.04,0.13,-2.47,0.49,1.2,18.45,86.63594470046083,-82.6086956521739,2.2777777777777777,461.25,Low Profitability
OnMobile Global,ONMOBILE,Telecommunications - Service Provider,513.24,518.76,15.32,13.87,31.1,31.1,42.31,1.43,4.31,2.98,4.66,772.6,-1.064075873236175,10.454217736121132,1.5053386329982075,50.43080939947781,Low Profitability
Onward Technolog,ONWARDTEC,Computers - Software - Medium / Small,472.39,475.32,33.92,34.48,46.19,46.19,59.16,15.06,11.05,7.13,21.69,923.5,-0.6164268282420279,-1.6241299303944177,1.9549524757086307,27.225825471698112,Moderate Profitability
Optiemus Infra.,OPTIEMUS,Trading,1527.72,1378.12,56.76,49.94,84.04,84.04,101.69,6.61,5.15,3.72,15.42,2705.35,10.855368182741715,13.656387665198238,1.7708415154609483,47.662966878083154,Low Profitability
Optimus Finance,__NA__,Finance & Investments,109.87,97.79,8.23,6.83,11.26,11.26,12.62,7.04,7.56,7.49,16.61,79.95,12.353001329379278,20.497803806735,0.727678165104214,9.71445929526124,Moderate Profitability
Oracle Fin.Serv.,OFSS,Computers - Software - Medium / Small,6372.96,6201.04,2219.36,2138.54,3050.67,3050.67,3124.93,256.07,43.66,34.83,39.54,88563.59,2.772438171661529,3.779213856182263,13.8967748110768,39.90501315694614,High Profitability
Orbit Exports,ORBTEXP,Textiles - Processing,200.06,197.52,34.07,33.6,46.8,46.8,61.48,12.89,25.91,17.03,18.46,482.09,1.2859457270149817,1.3988095238095204,2.4097270818754373,14.149985324332256,High Profitability
Orchasp Ltd,__NA__,Computers - Software - Medium / Small,13.25,19.66,0.68,-0.8,1.49,1.49,1.53,0.05,5.51,5.13,1.3,68.49,-32.60427263479146,-185.0,5.169056603773584,100.7205882352941,Moderate Profitability
Orchid Pharma,ORCHPHARMA,Pharmaceuticals - Indian - Bulk Drugs & Formln,819.37,812.17,92.17,117.77,108.29,108.29,141.53,18.17,13.51,11.25,9.32,5916.89,0.8865139071869246,-21.737284537658145,7.22126755922233,64.1953998047087,Moderate Profitability
Organic Coatings,__NA__,Chemicals,26.83,23.73,-0.47,-0.66,0.98,0.98,1.91,-0.61,6.86,-1.75,7.63,13.05,13.063632532659073,-28.787878787878796,0.48639582556839367,-27.765957446808514,Loss-making
Organic Recyclin,__NA__,Miscellaneous,27.49,,7.77,,7.97,7.97,10.63,10.09,37.58,28.26,8.36,232.53,,,8.458712259003274,29.92664092664093,High Profitability
Oriana Power Ltd,ORIANA,Power Generation And Supply,382.87,,54.28,,81.6,81.6,83.64,28.33,21.08,14.17,79.39,4829.99,,,12.615221876877268,88.98286661753868,Moderate Profitability
Oricon Enterpris,ORICONENT,Packaging,146.56,311.5,30.01,19.12,-8.34,-8.34,-0.44,1.91,-21.75,-5.14,-0.69,604.78,-52.950240770465484,56.9560669456067,4.126501091703057,20.152615794735087,Loss-making
Orient Bell,ORIENTBELL,Ceramics - Tiles / Sanitaryware,674.46,666.46,0.92,2.36,3.08,3.08,24.5,0.63,3.1,0.14,0.91,576.05,1.2003721153557603,-61.016949152542374,0.8540906799513683,626.141304347826,Low Profitability
Orient Beverages,__NA__,Miscellaneous,148.69,139.6,0.09,-3.04,13.93,13.93,16.76,0.28,5.82,3.46,16.02,85.63,6.511461318051579,-102.96052631578947,0.5758961597955478,951.4444444444445,Low Profitability
Orient Cement,ORIENTCEM,Cement - South India,3185.09,3173.1,174.85,174.03,315.58,315.58,464.74,8.53,14.1,5.49,16.12,5527.36,0.3778639185654482,0.4711831293455112,1.735385813273722,31.612010294538173,Moderate Profitability
Orient Ceratech,ORIENTCER,Refractories / Intermediates,316.98,313.71,17.11,18.71,21.26,21.26,31.53,1.43,8.21,4.39,7.05,601.78,1.0423639667208693,-8.551576696953509,1.898479399331188,35.17124488603156,Low Profitability
Orient Electric,ORIENTELEC,Domestic Appliances,2812.12,2682.37,75.27,87.09,100.84,100.84,159.86,3.53,5.13,2.19,14.08,5791.82,4.837140290116576,-13.572166724078546,2.059592051548298,76.94725654311146,Low Profitability
Orient Green,GREENPOWER,Power Generation And Supply,270.98,279.39,38.4,44.68,109.51,109.51,191.85,0.39,66.44,10.74,6.97,2003.61,-3.0101292100647727,-14.055505819158462,7.393940512214923,52.17734375,Moderate Profitability
Orient Paper,ORIENTPPR,Paper,831.94,848.06,6.23,62.59,42.65,42.65,86.27,0.29,7.34,0.75,2.29,1172.3,-1.9008089050302917,-90.04633328007668,1.409116042022261,188.17014446227927,Low Profitability
Orient Press,ORIENTLTD,Packaging,170.51,171.56,-1.06,-1.47,5.26,5.26,9.77,-1.06,3.71,-0.62,3.84,106.6,-0.612030776404763,-27.89115646258503,0.6251832737082869,-100.56603773584905,Loss-making
Orient Tradelink,__NA__,Construction,9.07,5.49,0.18,0.78,0.81,0.81,1.68,0.07,18.19,1.98,5.13,30.67,65.20947176684882,-76.92307692307693,3.3814773980154356,170.3888888888889,Low Profitability
Oriental Carbon,OCCL,Chemicals,463.67,462.08,49.58,48.08,77.73,77.73,108.03,46.19,22.29,10.69,9.75,203.8,0.34409626038781854,3.119800332778702,0.43953673949144867,4.110528438886648,Moderate Profitability
Oriental Hotels,ORIENTHOT,Hotels,393.16,397.08,49.65,51.06,84.1,84.1,108.14,2.78,25.01,12.5,10.69,2444.13,-0.9872066082401428,-2.7614571092832034,6.216629362091769,49.22719033232629,Moderate Profitability
Oriental Rail,__NA__,Miscellaneous,526.2,474.54,30.01,17.63,61.41,61.41,69.42,4.88,12.67,5.7,12.72,1700.56,10.886332026804912,70.2212138400454,3.231774990497909,56.66644451849383,Moderate Profitability
Orissa Minerals,ORISSAMINE,Mining / Minerals / Metals,55.26,34.89,-10.55,-21.76,2.9,-3.86,-1.62,-17.58,3.76,-49.56,-1.48,4328.85,58.38349097162509,-51.51654411764706,78.33604777415853,-410.3175355450237,Loss-making
Orosil Smiths,__NA__,Diamond Cutting / Jewellery,0.5,0.52,-0.41,-0.33,-0.39,-0.39,-0.24,-0.1,-56.0,-82.0,-15.48,16.04,-3.8461538461538494,24.242424242424228,32.08,-39.1219512195122,Loss-making
Ortel Commu.,ORTEL,Entertainment / Electronic Media Software,60.26,67.97,-28.81,-21.96,-28.81,-21.95,3.67,-8.74,-8.0,-32.31,-13.42,5.51,-11.343239664557894,31.193078324225855,0.09143710587454365,-0.19125303713988198,Loss-making
Osia Hyper Reta.,OSIAHYPER,Trading,1144.47,1019.67,18.3,14.6,62.94,62.94,72.78,1.55,5.88,1.6,22.82,278.3,12.23925387625409,25.342465753424666,0.2431693272868664,15.207650273224044,Low Profitability
Osiajee Texfab,__NA__,Trading,2.38,2.2,1.16,0.98,1.16,1.16,1.2,2.15,47.48,48.74,8.4,20.91,8.181818181818167,18.3673469387755,8.785714285714286,18.02586206896552,High Profitability
Oswal Green Tech,OSWALGREEN,Finance & Investments,55.6,33.14,6.37,8.42,11.22,11.22,15.72,0.25,-35.58,11.46,0.45,942.49,67.77308388654194,-24.346793349168642,16.951258992805755,147.95761381475668,Moderate Profitability
Oswal Leasing,__NA__,Finance & Investments,0.15,0.16,-0.04,-0.04,-0.04,-0.04,-0.04,-0.8,-26.67,-26.67,-1.44,1.89,-6.250000000000005,-0.0,12.6,-47.25,Loss-making
Oswal Yarns,__NA__,Trading,1.94,1.47,-0.21,-0.31,-0.21,-0.21,-0.18,-0.52,-9.28,-10.82,-5.7,7.44,31.972789115646254,-32.25806451612904,3.8350515463917527,-35.42857142857143,Loss-making
OTCO Intl,__NA__,Miscellaneous,2.01,2.2,0.06,0.16,0.08,0.08,0.14,0.05,6.97,2.99,1.0,10.34,-8.636363636363653,-62.5,5.144278606965175,172.33333333333334,Low Profitability
Ovobel Foods,__NA__,Food - Processing - Indian,174.63,203.94,17.89,34.34,25.27,25.27,26.25,17.04,12.06,10.24,27.49,216.73,-14.371874080611946,-47.90331974373908,1.2410811429880317,12.114589155953045,Moderate Profitability
Owais Metal,OWAIS,Mining / Minerals / Metals,80.05,,15.47,,22.32,22.32,23.48,8.51,28.86,19.33,51.27,2489.16,,,31.095065584009994,160.90239172592112,High Profitability
Oxygenta Pharma,__NA__,Pharmaceuticals - Indian - Bulk Drugs,39.64,37.28,-3.48,-15.79,-12.32,-12.32,-9.66,-1.04,-24.47,-8.88,-41.83,114.15,6.330472103004291,-77.96073464217858,2.879667003027245,-32.80172413793104,Loss-making
P & G Health Ltd,PGHL,Pharmaceuticals - Multinational,1168.56,1237.0,214.02,226.65,295.31,314.26,342.36,128.93,25.94,18.62,45.47,8391.72,-5.532740501212616,-5.572468563864988,7.181248716368864,39.20998037566582,High Profitability
P & G Hygiene,PGHH,Personal Care - Multinational,4126.48,4007.4,745.2,755.85,1063.36,851.68,910.04,229.57,25.85,17.32,100.63,54100.86,2.9715027199680457,-1.4090097241516144,13.110656055524322,72.59911433172303,High Profitability
P B A Infra.,__NA__,Construction,60.49,48.19,2.45,1.82,13.24,13.24,17.58,1.81,-2.86,23.21,4.63,15.18,25.523967628138628,34.61538461538462,0.2509505703422053,6.1959183673469385,High Profitability
P I Industries,PIIND,Pesticides / Agrochemicals - Indian,7665.8,7490.4,1681.5,1592.6,1924.7,1924.7,2232.9,110.83,26.28,21.94,23.81,58240.8,2.3416639965822994,5.582067060153214,7.597484933079392,34.63621766280107,High Profitability
P. H. Capital,__NA__,Finance & Investments,161.32,,20.13,,27.49,27.49,27.76,67.1,17.15,12.48,73.59,60.46,,,0.37478303992065465,3.00347739692002,Moderate Profitability
P.E. Analytics,PROPEQUITY,Miscellaneous,39.86,,11.67,,15.81,15.81,16.16,10.64,29.73,29.33,24.0,303.98,,,7.626191670847969,26.047986289631535,High Profitability
Pace E-Commerce,__NA__,Trading,42.81,,2.39,,4.0,4.0,4.4,1.06,7.54,5.58,5.41,68.73,,,1.6054660126138753,28.757322175732217,Moderate Profitability
Pacheli Indust.,__NA__,Finance & Investments,1.07,1.0,0.01,-0.01,0.01,0.01,0.01,0.03,0.93,0.93,0.0,5.86,7.000000000000006,-200.0,5.4766355140186915,586.0,Low Profitability
Pacific Inds,__NA__,Miscellaneous,190.0,170.92,11.88,8.81,16.61,16.61,27.39,17.24,5.61,6.25,3.46,167.43,11.163117247835252,34.846765039727586,0.8812105263157896,14.093434343434343,Moderate Profitability
Padmanabh Alloys,__NA__,Plastics Products,42.24,42.35,0.48,0.24,1.03,1.03,1.23,0.89,2.86,1.14,8.6,16.93,-0.2597402597402584,100.0,0.4008049242424242,35.270833333333336,Low Profitability
Padmanabh Inds.,__NA__,Chemicals,0.6,-0.47,-0.06,-0.03,-0.05,-0.05,-0.01,-0.1,-3.33,-10.0,-8.62,4.52,-227.65957446808505,100.0,7.533333333333333,-75.33333333333333,Loss-making
Page Industries,PAGEIND,Textiles - Products,4581.67,4550.9,569.19,539.34,801.39,801.39,892.22,510.31,19.04,12.42,45.03,43484.97,0.6761299962644848,5.5345422182667745,9.491074215297042,76.39798661255467,Moderate Profitability
Paisalo Digital,PAISALO,Finance & Investments,658.75,581.44,178.97,163.02,510.77,510.77,514.17,1.99,78.05,27.12,14.06,6771.23,13.296298844248753,9.78407557354925,10.278907020872865,37.83444152651282,High Profitability
Pakka,PAKKA,Paper,404.74,421.27,48.67,51.68,81.62,81.62,95.57,12.43,21.15,12.03,21.36,986.25,-3.9238493127922642,-5.824303405572752,2.4367495182092207,20.264023012122458,Moderate Profitability
Palash Securi.,PALASHSECU,Finance & Investments,40.95,42.11,-15.76,-17.2,-11.76,-11.76,-11.04,-9.62,-27.99,-38.49,-2.5,142.99,-2.7546900973640387,-8.372093023255811,3.491819291819292,-9.07296954314721,Loss-making
