Name,NSE Code,Industry,Sales,Sales preceding 12months,Net profit,Net profit preceding 12months,EBIT,EBIT last year,EBIDT last year,EPS,OPM,NPM last year,Return on capital employed,Market Capitalization,Profitability Category
Jagjanani Text.,__NA__,Textiles - Cotton/Blended,0.0,3.98,3.84,3.9,3.84,3.84,3.84,2.46,,,2400.0,19.61,Unknown
Jagran Prakashan,JAGRAN,Entertainment / Electronic Media Software,1933.91,1883.65,164.92,182.17,250.47,250.47,361.83,8.44,14.03,8.53,10.63,1976.07,Moderate Profitability
Jagsonpal Fin.,__NA__,Finance & Investments,0.5,0.02,0.36,-0.13,0.36,0.36,0.36,0.65,72.0,72.0,45.57,5.36,High Profitability
Jagsonpal Pharma,JAGSNPHARM,Pharmaceuticals - Indian - Bulk Drugs & Formln,208.7,220.66,22.46,24.51,30.68,30.68,32.34,8.5,11.05,10.76,16.99,896.34,Moderate Profitability
Jai Balaji Inds.,JAIBALAJI,Steel - Large,6413.78,6292.19,879.56,593.5,1035.73,1035.73,1121.35,53.74,14.13,13.71,61.05,15242.71,Moderate Profitability
Jai Corp,JAICORPLTD,Plastics Products,463.06,465.11,52.48,-10.06,72.1,72.1,84.32,2.94,10.29,11.42,4.5,6870.28,Moderate Profitability
Jai Mata Glass,__NA__,Trading,0.45,0.4,0.02,-0.02,0.16,0.16,0.16,0.0,17.78,4.44,5.3,17.8,Low Profitability
Jaihind Synth,__NA__,Textiles - Processing,0.2,0.12,0.02,-0.05,0.03,0.03,0.03,0.02,15.0,10.0,0.19,24.67,Moderate Profitability
Jain Irrigat-DVR,JISLDVREQS,Plastics Products,,,,,,,,,,,,81.22,Unknown
Jain Irrigation,JISLJALEQS,Plastics Products,6147.3,6166.14,42.8,1030.37,546.36,546.36,788.95,0.68,12.75,1.48,5.81,5145.59,Low Profitability
Jain Marmo Inds,__NA__,Miscellaneous,1.58,1.22,0.07,-0.28,0.16,0.16,0.24,0.22,10.76,4.43,3.05,7.2,Low Profitability
Jainam Ferro,JAINAM,Mining / Minerals / Metals,189.9,,5.33,,9.12,9.12,10.63,5.07,2.81,2.81,,153.14,Low Profitability
Jainco Projects,__NA__,Construction,0.22,0.29,0.0,-0.06,0.0,0.0,0.05,0.0,22.73,0.0,0.0,6.64,Low Profitability
Jainex Aamcol,__NA__,Auto Ancillaries,20.94,20.0,0.52,0.39,1.19,1.19,1.84,3.48,8.6,2.48,10.77,22.81,Low Profitability
Jaipan Industrie,__NA__,Trading,22.52,23.59,-11.35,0.36,-10.93,-10.93,-10.76,-18.61,-47.87,-50.4,-71.65,23.55,Loss-making
Jalan Transol.,JALAN,Miscellaneous,5.37,,-15.62,,0.32,0.32,1.05,-10.74,8.94,2.98,1.81,5.45,Low Profitability
James Warren Tea,__NA__,Tea,116.8,120.99,1.88,-2.99,1.52,1.52,4.27,5.08,-18.18,1.61,1.61,80.59,Low Profitability
Jamna Auto Inds.,JAMNAAUTO,Auto Ancillaries,2426.77,2420.52,205.41,203.13,287.05,287.05,331.29,5.15,13.49,8.46,30.42,4914.94,Moderate Profitability
Jamshri Realty,__NA__,Construction,5.39,4.81,-3.4,-3.88,-0.37,-0.37,0.59,-486.41,-13.91,-59.0,-0.89,77.65,Loss-making
Jana Small Finan,JSFB,Banks - Private Sector,4013.05,3750.49,669.54,428.85,2400.25,2400.25,2462.16,64.02,44.63,16.68,8.61,7241.84,High Profitability
Janus Corporatio,__NA__,Construction,38.9,,0.37,,0.52,0.52,0.68,0.28,1.75,0.95,3.5,8.4,Low Profitability
Jasch Gauging,__NA__,Electronics - Components,29.71,,8.8,,11.91,11.91,12.36,19.42,35.48,29.62,30.7,380.3,High Profitability
Jasch Industries,__NA__,Plastics Products,171.58,216.35,16.19,21.99,13.13,13.13,15.83,23.81,8.79,5.22,13.99,110.16,Moderate Profitability
Jash Engineering,JASH,Engineering,515.67,467.34,66.77,61.03,94.25,94.25,105.02,53.95,19.14,12.95,25.07,2688.94,Moderate Profitability
Jattashankar Ind,__NA__,Textiles - Processing,16.31,15.15,3.82,0.42,0.92,0.92,1.16,8.71,1.53,4.66,5.19,11.76,Low Profitability
Jauss Polymers,__NA__,Plastics Products,0.0,0.0,-0.56,-0.44,-0.56,-0.56,-0.46,-1.21,,,-6.46,4.16,Unknown
Jay Bharat Maru.,JAYBARMARU,Auto Ancillaries,2292.11,2367.37,31.36,34.35,85.93,85.93,170.26,2.9,7.26,1.37,9.45,1190.77,Low Profitability
Jay Jalaram Tech,KORE,Trading,538.72,,4.86,,9.7,9.7,10.77,4.37,1.85,0.92,22.35,660.12,Low Profitability
Jay Kailash,__NA__,Food - Processing - Indian,11.52,,0.7,,1.22,1.22,1.32,2.08,10.16,6.08,20.44,33.09,Moderate Profitability
Jay Shree Tea,JAYSREETEA,Tea,761.02,768.89,12.99,16.59,12.98,12.98,34.97,4.5,-6.47,-1.46,2.22,335.14,Loss-making
Jay Ushin,__NA__,Auto Ancillaries,726.25,714.05,14.29,13.72,30.28,30.28,40.82,36.98,3.52,1.97,13.02,275.1,Low Profitability
Jayabharat Cred.,__NA__,Finance & Investments,0.0,0.0,-1.06,-1.43,-1.07,-1.07,-1.06,-2.12,,,,5.98,Unknown
Jayant Agro Org.,JAYAGROGN,Chemicals,2150.04,2130.66,55.51,51.98,82.76,82.76,98.65,17.59,4.53,2.58,12.18,952.5,Low Profitability
Jayant Infratech,__NA__,Engineering - Turnkey Services,89.3,,4.87,,7.57,7.57,7.82,5.02,7.94,5.53,21.85,149.97,Moderate Profitability
Jayaswal Neco,JAYNECOIND,Steel - Large,5933.55,5991.41,209.98,213.15,779.31,779.31,1045.23,2.16,17.3,3.77,14.24,4750.1,Low Profitability
Jayatma Industri,__NA__,Trading,27.58,51.23,0.07,0.07,1.59,1.59,2.11,0.11,-3.23,0.25,5.34,6.3,Low Profitability
Jaykay Enter.,__NA__,Miscellaneous,52.66,32.97,9.59,2.72,14.68,14.68,17.39,1.47,6.49,18.21,6.9,916.61,High Profitability
Jayshree Chem.,__NA__,Trading,12.82,12.21,-3.51,0.18,-2.12,-2.12,-1.87,-1.2,-23.48,-17.32,-15.58,28.29,Loss-making
JBM Auto,JBMA,Auto Ancillaries,5009.35,4533.46,193.73,159.64,442.85,442.85,614.32,15.12,11.66,3.87,14.63,24467.09,Low Profitability
JCT,__NA__,Textiles - Composite,556.55,638.88,-122.85,-85.36,-76.35,-49.4,-37.73,-1.41,-13.82,-14.6,-9.86,202.32,Loss-making
Jeena Sikho,JSLL,Pharmaceuticals - Indian - Formulations,324.41,,69.21,,94.33,94.33,99.43,27.84,28.66,21.33,74.5,2660.04,High Profitability
Jeevan Scienti.,__NA__,Miscellaneous,39.65,36.51,-1.33,-2.9,-0.63,-0.63,5.3,-0.84,11.68,-3.35,-1.05,81.17,Loss-making
Jenburkt Pharma,__NA__,Pharmaceuticals - Indian - Formulations,141.97,138.33,25.98,24.44,35.45,35.45,37.79,58.87,23.33,18.3,26.23,383.97,High Profitability
Jet Airways,JETAIRWAYS,Transport - Airlines,74.76,49.72,-662.61,-1002.07,-658.9,-997.78,-842.06,-58.33,-688.98,-2015.41,,478.83,Loss-making
