Name,NSE Code,Industry,Sales,Sales preceding 12months,Net profit,Net profit preceding 12months,EBIT,EBIT last year,EBIDT last year,EPS,OPM,NPM last year,Return on capital employed,Market Capitalization,Profitability Category
Educomp Sol.,EDUCOMP,Computers - Education,4.84,4.96,-16.71,-31.85,-11.09,-75.13,-74.82,-1.36,-372.31,-2015.83,,31.23,Loss-making
Edvenswa Enter,__NA__,Computers - Software - Medium / Small,84.29,76.85,7.38,6.88,11.42,11.42,12.19,3.9,13.68,8.76,23.81,110.18,Moderate Profitability
eDynamics Solut.,__NA__,Trading,0.0,0.0,-0.02,-0.01,-0.01,-0.02,-0.02,-0.01,,,,7.52,Unknown
EFC (I),__NA__,Miscellaneous,419.46,386.58,63.3,44.53,116.29,116.29,191.92,11.65,43.53,15.09,18.8,2812.38,High Profitability
Eicher Motors,EICHERMOT,Automobiles - Motorcycles / Mopeds,16535.78,16084.06,4001.01,3836.14,5252.9,5252.9,5850.5,146.13,26.17,24.2,31.13,128257.48,High Profitability
EID Parry,EIDPARRY,Sugar,29413.11,30716.38,1617.57,1610.17,2470.65,2470.65,2891.43,50.68,8.8,5.5,20.5,13628.02,Moderate Profitability
Eighty Jewellers,__NA__,Trading,80.98,,1.46,,2.82,2.82,2.91,1.43,3.47,1.8,8.05,47.43,Low Profitability
EIH,EIHOTEL,Hotels,2511.27,2406.99,677.7,522.27,943.92,943.92,1075.41,10.22,36.91,27.2,23.61,26437.29,High Profitability
EIH Assoc.Hotels,EIHAHOTELS,Hotels,384.79,360.12,81.03,70.38,109.54,109.54,126.4,26.6,29.44,21.06,25.23,2825.2,High Profitability
Eiko Lifescience,__NA__,Chemicals,27.93,26.12,0.75,0.72,1.13,1.13,1.79,0.64,5.76,2.69,2.82,62.58,Low Profitability
Eimco Elecon(I),EIMCOELECO,Engineering,227.5,207.39,40.41,35.34,49.79,49.79,57.25,70.05,17.65,17.37,13.53,1444.04,High Profitability
Ekam Leasing,__NA__,Finance & Investments,0.65,0.65,0.63,0.17,1.06,1.06,1.06,1.05,63.08,96.92,10.52,3.42,High Profitability
Ekansh Concept,__NA__,Miscellaneous,43.4,60.34,-3.3,-3.3,4.21,4.21,4.39,-2.18,-7.6,-7.6,4.7,81.39,Loss-making
Ekennis Software,__NA__,Computers - Software - Medium / Small,2.8,,0.0,,0.08,0.08,0.3,0.0,3.57,0.0,1.55,15.19,Low Profitability
EKI Energy,__NA__,Miscellaneous,258.85,272.17,-124.77,-132.88,-122.15,-122.15,-118.98,-45.33,-50.04,-48.2,-23.96,917.88,Loss-making
EL Forge,__NA__,Castings & Forgings,68.32,69.23,71.12,1.19,3.54,3.54,5.38,34.99,7.29,4.48,,40.9,Low Profitability
Elango Industrie,__NA__,Miscellaneous,2.58,2.58,-0.14,-0.09,-0.14,-0.14,-0.12,-0.37,-5.04,-5.43,-3.45,4.72,Loss-making
Elantas Beck,__NA__,Chemicals,687.03,679.89,144.16,137.3,193.3,184.07,195.97,181.84,21.48,20.18,27.67,9159.19,High Profitability
Elcid Investment,__NA__,Finance & Investments,233.63,213.58,175.74,158.82,231.59,231.59,232.47,8787.0,98.59,75.22,2.02,0.07,High Profitability
Eldeco Housing,ELDEHSG,Construction,112.7,102.21,33.86,37.07,48.19,48.19,48.99,34.44,34.99,30.04,12.02,1013.44,High Profitability
Elecon Engg.Co,ELECON,Engineering,1937.42,1797.34,355.58,319.87,470.65,470.65,521.57,31.69,24.5,18.21,31.32,14934.41,High Profitability
Electro Force,EFORCE,Electric Equipment,36.44,,5.75,,7.91,7.91,8.57,2.46,23.13,15.78,43.11,184.16,High Profitability
Electronics Mart,EMIL,Trading,6285.41,6104.61,183.98,179.55,353.87,353.87,459.56,4.78,7.15,2.93,12.74,8864.62,Low Profitability
Electrost.Cast.,ELECTCAST,Castings & Forgings,7478.01,7346.13,740.15,602.49,1156.14,1156.14,1280.66,12.44,15.76,9.9,15.95,10423.46,Moderate Profitability
Electrotherm(I),ELECTHERM,Steel - Medium / Small,4271.5,4087.09,317.33,254.87,377.44,377.44,424.14,249.03,9.82,7.43,40.17,1025.8,Moderate Profitability
Elegant Floricul,__NA__,Miscellaneous,0.6,1.15,0.02,0.05,0.02,0.02,0.4,0.01,-23.33,3.33,0.1,12.4,Low Profitability
Elegant Marbles,__NA__,Miscellaneous,34.22,36.66,4.05,4.95,6.38,6.38,6.88,11.07,12.57,13.85,5.42,95.89,Moderate Profitability
Elgi Equipments,ELGIEQUIP,Compressors / Drilling Equipment,3217.76,3187.57,311.89,405.75,469.51,469.51,546.16,9.84,15.1,9.69,22.37,23223.13,Moderate Profitability
Elgi Rubber Co,ELGIRUBCO,Miscellaneous,386.45,387.74,11.66,-2.73,28.18,28.18,47.29,2.33,6.44,0.6,5.92,370.49,Low Profitability
Elin Electronics,ELIN,Electronics - Components,1041.72,1032.6,13.87,11.93,27.8,27.8,49.65,2.79,3.89,1.33,5.12,1059.95,Low Profitability
Elixir Capital,__NA__,Finance & Investments,32.54,16.15,20.96,7.68,27.08,27.08,27.42,26.9,77.75,63.12,36.75,63.28,High Profitability
Elnet Technolog,__NA__,Construction,26.15,26.72,17.49,16.24,24.19,24.19,25.84,43.72,67.15,66.88,17.88,136.26,High Profitability
Elpro Internatio,__NA__,Construction,256.54,186.52,85.49,61.13,132.19,132.19,137.52,5.04,41.82,33.32,7.86,1697.31,High Profitability
EMA India,__NA__,Engineering,0.0,0.0,-0.52,-0.52,-0.5,-0.5,-0.44,-5.17,,,-344.83,4.21,Unknown
Emami,EMAMILTD,Personal Care - Indian,3578.09,3522.8,724.14,719.01,806.71,806.71,992.61,16.58,26.43,20.39,32.56,33525.43,High Profitability
Emami Paper,EMAMIPAP,Paper,1993.84,2022.79,84.3,45.83,179.39,179.39,239.66,13.93,11.85,4.23,11.28,716.31,Low Profitability
Emami Realty Ltd,EMAMIREAL,Construction,61.46,70.31,-122.93,-67.85,-72.85,-72.85,-71.62,-32.48,-178.13,-200.02,-4.1,392.25,Loss-making
Embassy Off.REIT,EMBASSY,Construction,3815.74,3729.64,964.03,716.07,2147.12,2147.12,3116.11,10.17,78.21,24.6,5.41,33745.01,High Profitability
Emerald Finance,__NA__,Finance & Investments,13.32,13.31,4.14,4.25,7.0,7.0,7.06,1.37,52.7,31.08,12.39,94.04,High Profitability
Emerald Leisures,__NA__,Hotels,15.79,19.95,-9.73,-14.39,3.82,3.82,6.29,-19.44,34.77,-61.62,6.24,116.34,Loss-making
Emergent Indust.,__NA__,Trading,357.22,263.31,1.71,1.77,3.17,3.17,3.25,3.74,0.39,0.48,13.7,45.34,Low Profitability
Emk.Global Fin.,EMKAY,Finance & Investments,282.48,234.54,32.44,16.5,47.33,47.33,57.13,13.14,8.71,10.94,17.65,406.77,Moderate Profitability
Emkay Taps & Cut,EMKAYTOOLS,Engineering,103.45,,71.9,,90.31,90.31,92.92,67.38,46.51,69.5,38.99,1061.79,High Profitability
Emmbi Industries,EMMBI,Packaging,377.43,371.77,9.95,7.15,26.7,26.7,37.49,5.62,9.89,2.64,8.42,198.49,Low Profitability
Emmessar Biotech,__NA__,Chemicals,0.56,0.8,0.75,0.58,0.81,0.81,0.91,1.5,-192.86,133.93,11.36,19.55,High Profitability
Emmforce,__NA__,Auto Ancillaries,40.07,,4.09,,6.54,6.54,7.55,2.73,15.82,10.21,,358.74,Moderate Profitability
Empire Inds.,__NA__,Diversified - Medium / Small,606.02,631.64,37.0,37.97,72.45,72.45,88.92,61.67,10.58,6.11,15.51,608.85,Moderate Profitability
Empower India,__NA__,Trading,116.79,31.77,6.91,4.4,7.01,7.01,7.01,0.06,3.24,5.92,2.38,314.23,Moderate Profitability
EMS,EMSLIMITED,Construction,793.31,738.29,152.66,141.39,213.07,213.07,219.6,27.44,25.69,19.24,30.3,3715.57,High Profitability
eMudhra,EMUDHRA,Computers - Software - Medium / Small,373.12,350.24,76.35,70.96,96.02,96.02,116.83,9.06,29.46,20.54,17.66,7198.01,High Profitability
Enbee Trade,__NA__,Finance & Investments,10.25,8.9,1.6,0.97,3.92,3.92,4.66,1.12,45.46,15.61,8.05,16.55,High Profitability
Encode Packaging,__NA__,Packaging,4.62,,0.12,,0.11,0.11,0.37,0.38,8.01,2.38,3.24,4.7,Low Profitability
Endurance Tech.,ENDURANCE,Auto Ancillaries,10240.87,9790.44,680.49,606.81,939.61,939.61,1413.6,48.38,12.97,6.64,17.61,37993.04,Moderate Profitability
Energy Devl.Co.,ENERGYDEV,Power Generation And Supply,30.01,29.61,-2.17,-2.3,7.68,7.68,17.96,-0.46,54.08,-7.23,2.91,114.12,Loss-making
Energy-Mission,EMMIL,Engineering,126.29,,10.97,,18.46,18.46,20.48,13.15,15.33,8.69,40.65,419.15,Moderate Profitability
Enfuse,ENFUSE,Computers - Software - Medium / Small,39.85,,5.36,,7.69,7.69,9.14,6.06,22.58,13.45,86.4,116.77,Moderate Profitability
Engineers India,ENGINERSIN,Engineering - Turnkey Services,3280.86,3355.82,445.26,519.92,481.23,481.23,516.23,7.92,9.05,13.57,22.55,14022.95,Moderate Profitability
Enkei Wheels,__NA__,Auto Ancillaries,805.31,716.13,24.97,11.7,48.06,27.45,69.0,13.89,9.22,1.64,7.01,1166.92,Low Profitability
Enser,ENSER,Computers - Software - Medium / Small,46.08,,5.27,,8.15,8.15,8.92,6.05,18.88,11.44,79.36,143.51,Moderate Profitability
Ent.Network,ENIL,Entertainment / Electronic Media Software,535.55,499.88,32.98,21.38,53.77,53.77,133.57,6.81,19.77,5.95,5.64,1171.5,Moderate Profitability
Entero Healthcar,ENTERO,Trading,3922.31,,39.8,,101.23,101.23,126.25,8.99,2.85,1.01,5.5,4592.74,Low Profitability
Enterprise Intl.,__NA__,Trading,5.25,6.59,0.15,0.24,0.27,0.27,0.34,0.5,-7.05,2.86,2.23,8.36,Low Profitability
Envair Electrody,__NA__,Engineering,0.4,0.31,-0.81,-2.08,-1.06,-1.06,-1.06,-1.75,-337.5,-202.5,-13.06,89.98,Loss-making
EP Biocomposites,__NA__,Miscellaneous,11.44,,1.15,,1.6,1.6,1.7,6.84,12.24,10.05,16.51,26.74,Moderate Profitability
Epack Durable,EPACK,Air-conditioners,1419.56,,35.37,,88.15,88.15,123.63,3.69,8.08,2.49,8.33,2394.47,Low Profitability
Epic Energy,__NA__,Electric Equipment,3.08,1.85,0.36,-0.21,0.33,0.33,0.5,0.5,15.91,11.69,5.03,11.14,Moderate Profitability
Epigral,EPIGRAL,Chlor Alkali / Soda Ash,1929.19,1966.74,195.79,195.92,364.22,364.22,487.78,47.12,24.95,10.15,17.49,5929.17,Moderate Profitability
EPL Ltd,EPL,Packaging,3916.1,3856.2,210.1,280.1,444.4,444.4,777.2,6.7,18.24,6.54,15.1,6477.41,Moderate Profitability
Epsom Properties,__NA__,Construction,0.0,0.0,-0.38,-0.35,-0.3,-0.3,-0.3,-0.51,,,-428.57,5.24,Unknown
Epuja Spiritech,__NA__,Entertainment / Electronic Media Software,0.96,0.74,-0.48,-0.19,-0.48,-0.48,-0.48,-0.06,-57.29,-50.0,-3.86,40.64,Loss-making
Equippp Social,EQUIPPP,Computers - Software - Medium / Small,1.87,0.61,-0.28,-0.49,-0.16,-0.16,0.1,-0.03,5.35,-14.97,-1.86,262.88,Loss-making
Equitas Sma. Fin,EQUITASBNK,Banks - Private Sector,5486.4,5197.48,798.96,781.38,3469.76,3469.76,3469.76,7.04,48.69,14.56,10.35,11057.38,Moderate Profitability
Eraaya Lifespace,__NA__,Finance & Investments,297.2,281.96,0.34,0.48,0.47,0.47,0.5,0.22,0.04,0.11,7.0,1261.26,Low Profitability
ERIS Lifescience,ERIS,Pharmaceuticals - Indian - Formulations,2009.15,1861.02,397.05,378.9,516.03,516.03,698.64,28.82,33.59,19.76,11.34,14046.75,High Profitability
Eros Intl.Media,EROSMEDIA,Entertainment / Electronic Media Software,488.1,470.69,-136.29,-135.07,-89.62,-50.74,-43.91,-13.56,-29.97,-17.61,-3.64,188.17,Loss-making
ERP Soft Systems,__NA__,Computers - Software - Medium / Small,11.7,14.32,0.17,0.27,0.24,0.24,0.28,0.43,2.39,1.45,1.25,51.04,Low Profitability
Esaar (India),__NA__,Finance & Investments,6.52,9.99,-0.48,-0.43,7.68,7.68,7.88,-0.23,-24.39,-7.36,7.02,14.52,Loss-making
Esab India,ESABINDIA,Electrodes - Welding Equipment,1243.32,1204.07,162.98,160.6,220.38,220.38,234.17,105.88,18.31,13.11,76.67,9530.33,Moderate Profitability
ESAF Small Fin,ESAFSFB,Banks - Private Sector,3818.43,3590.26,425.57,483.6,2019.14,2019.14,2019.14,8.27,41.31,11.15,10.23,2774.66,Moderate Profitability
Esconet,ESCONET,Computers - Software - Medium / Small,137.48,,5.3,,9.06,9.06,9.74,4.29,6.91,3.86,54.61,369.07,Low Profitability
Escorp Asset Mgt,__NA__,Finance & Investments,19.16,,17.25,,19.57,19.57,19.57,15.52,98.8,90.03,46.24,81.76,High Profitability
Escorts Kubota,ESCORTS,Automobiles - Tractors,8849.62,8970.57,1049.08,1013.65,1404.43,1404.43,1571.33,94.94,13.18,11.77,16.08,45991.03,Moderate Profitability
Esha Media,__NA__,Miscellaneous,0.14,0.12,-0.09,-0.06,-0.09,-0.09,-0.08,-0.12,-57.14,-64.29,-16.82,9.11,Loss-making
Espire Hospi,__NA__,Hotels,35.76,33.94,2.56,1.62,3.94,3.94,7.55,1.9,19.44,7.16,11.78,133.65,Moderate Profitability
Essar Shipping,ESSARSHPNG,Shipping,20.24,31.43,-104.31,312.3,-36.69,-36.69,-4.61,-5.71,-330.98,-579.3,-150.86,1022.07,Loss-making
Essen Speciality,ESFL,Plastics Products,142.68,138.27,14.24,19.6,20.49,20.49,25.92,6.88,16.77,9.98,17.42,372.79,Moderate Profitability
Ester Industries,ESTER,Packaging,1063.45,1081.38,-121.05,-115.07,-64.64,-64.64,3.39,-12.88,-2.22,-11.38,-4.24,1091.74,Loss-making
Ethos Ltd,ETHOSLTD,Trading,998.99,954.03,83.29,75.55,127.34,127.34,176.01,34.02,15.19,8.34,14.3,6878.39,Moderate Profitability
ETT Ltd,__NA__,Construction,0.0,0.06,1.73,1.89,2.36,2.36,2.36,1.67,,161.25,6.7,23.6,High Profitability
Euphoria Infotec,__NA__,Computers - Software - Medium / Small,6.01,,0.92,,1.47,1.47,1.54,3.17,25.46,15.31,26.02,18.86,High Profitability
Eureka Forbes,__NA__,Domestic Appliances,2189.23,2144.29,91.57,86.48,147.28,147.28,200.4,4.73,8.76,4.66,3.48,9397.85,Low Profitability
Eureka Industrie,__NA__,Textiles - Cotton/Blended,19.25,12.14,-4.56,-3.49,-4.49,-4.49,-4.49,-5.21,-23.32,-23.69,-380.51,3.96,Loss-making
Euro Asia Export,__NA__,Trading,12.51,0.3,0.02,0.07,0.04,0.04,0.04,0.13,0.32,0.16,7.34,2.55,Low Profitability
Euro India Fresh,EIFFL,Food - Processing - Indian,111.24,119.72,2.19,2.62,6.68,6.68,9.48,0.88,8.37,1.97,6.39,366.78,Low Profitability
Euro Leder Fash,__NA__,Leather / Leather Products,33.28,39.27,0.31,0.37,2.14,2.14,2.59,0.69,1.05,0.93,5.96,8.94,Low Profitability
Euro Panel,EUROBOND,Aluminium and Aluminium Products,395.23,,14.61,,29.57,29.57,34.1,5.96,8.08,3.7,19.04,499.56,Low Profitability
Eurotex Industri,EUROTEXIND,Construction,0.63,5.71,-6.53,-1.88,-4.3,-4.3,-1.45,-7.46,-592.06,-1036.51,-24.52,12.75,Loss-making
Evans Electric,__NA__,Miscellaneous,20.67,,5.07,,6.65,6.65,6.89,18.48,31.01,24.53,44.39,82.05,High Profitability
Evantra Ventures,__NA__,Trading,16.76,,1.06,,1.51,1.51,1.63,5.83,8.89,6.32,,166.95,Moderate Profitability
Eveready Inds.,EVEREADY,Dry Cells,1314.28,1319.54,66.76,44.32,112.95,112.95,143.21,9.18,10.68,5.08,16.01,2539.81,Moderate Profitability
Everest Inds.,EVERESTIND,Cement Products,1575.45,1589.64,18.0,25.51,26.34,26.34,58.7,11.4,2.6,0.78,3.8,1899.63,Low Profitability
Everest Kanto,EKC,Packaging,1222.96,1195.01,97.6,120.74,127.97,127.97,167.19,8.84,13.12,8.13,11.32,1432.32,Moderate Profitability
Everest Organics,__NA__,Pharmaceuticals - Indian - Bulk Drugs,197.24,195.38,0.14,0.2,6.08,6.08,11.88,0.17,5.57,0.07,6.05,113.52,Low Profitability
Everlon Fin.,__NA__,Finance & Investments,10.11,8.02,8.0,3.63,9.09,9.09,9.17,12.9,89.52,79.13,61.73,122.97,High Profitability
Evexia Lifecare,__NA__,Trading,56.29,56.35,1.38,-2.3,2.42,2.42,2.84,0.02,3.5,2.45,0.3,182.38,Low Profitability
Evoq Remedies,__NA__,Trading,4.05,,0.45,,0.61,0.61,0.62,0.33,-40.49,11.11,1.77,15.99,Moderate Profitability
Excel Industries,EXCELINDUS,Pesticides / Agrochemicals - Indian,826.14,818.69,17.01,12.51,24.53,24.53,55.96,13.53,2.78,2.06,1.84,1494.45,Low Profitability
Excel Realty,EXCEL,Construction,2.58,2.83,0.97,-1.13,1.16,1.16,1.33,0.01,-81.01,37.6,0.67,100.16,High Profitability
Exhicon Events,__NA__,Miscellaneous,88.46,,14.23,,18.39,18.39,20.12,10.09,22.0,16.09,97.2,357.05,High Profitability
Exicom Tele-Sys.,EXICOM,Electric Equipment,866.25,,66.43,,115.55,115.55,133.5,5.5,13.2,7.67,24.69,5725.89,Moderate Profitability
Exide Inds.,EXIDEIND,Auto Ancillaries,16769.73,16273.59,882.82,878.19,1347.17,1347.17,1907.59,10.31,10.84,5.26,10.46,48114.25,Moderate Profitability
Expleo Solutions,EXPLEOSOL,Computers - Software - Medium / Small,964.87,940.54,90.44,102.06,122.18,122.18,155.85,58.27,15.37,9.37,20.47,1943.06,Moderate Profitability
Explicit Finance,__NA__,Finance & Investments,9.4,10.07,0.02,0.53,0.02,0.02,0.02,0.02,0.11,0.21,0.25,5.89,Low Profitability
Expo Gas Contain,__NA__,Packaging,75.7,80.52,0.76,-2.14,5.42,5.42,5.86,0.4,7.57,1.0,8.75,80.93,Low Profitability
Exxaro Tiles,EXXARO,Ceramics - Tiles / Sanitaryware,301.68,315.71,2.28,2.21,17.45,17.45,26.81,0.51,8.13,0.76,4.7,417.17,Low Profitability
F A C T,FACT,Fertilizers,5054.93,5241.95,146.17,372.81,536.02,536.02,562.59,2.26,7.11,7.75,17.01,66480.16,Moderate Profitability
F Mec Intl. Fin.,__NA__,Finance & Investments,3.73,2.06,0.78,0.75,1.14,1.14,1.16,0.88,30.56,20.91,11.6,82.43,High Profitability
Faalcon Concepts,FAALCON,Construction,18.51,,2.03,,3.13,3.13,3.47,4.16,18.53,10.97,60.42,50.37,Moderate Profitability
Fabino Life Sci.,__NA__,Trading,6.08,,0.05,,0.08,0.08,0.11,0.24,1.81,0.82,1.77,5.47,Low Profitability
Facor Alloys,__NA__,Mining / Minerals / Metals,153.79,260.19,-19.24,-28.52,-20.6,-20.6,-18.58,-1.02,-14.66,-9.68,-11.85,143.14,Loss-making
Fairchem Organic,FAIRCHEMOR,Chemicals,621.47,612.81,40.5,40.6,58.83,58.83,68.11,31.1,10.78,6.52,19.39,1784.58,Moderate Profitability
Falcon,FALCONTECH,Engineering - Turnkey Services,16.54,,1.04,,2.39,2.39,2.42,20.8,14.45,6.29,17.33,46.6,Moderate Profitability
Family Care,__NA__,Healthcare,40.01,49.44,12.55,5.02,8.51,8.51,9.93,2.32,16.85,31.37,15.18,40.73,High Profitability
Faze Three,FAZE3Q,Textiles - Processing,564.52,542.25,46.59,52.5,73.7,73.7,94.3,19.16,15.32,8.25,13.92,1062.62,Moderate Profitability
FCS Software,FCSSOFT,Computers - Software - Medium / Small,36.57,35.25,-12.05,-9.4,12.8,12.8,16.41,-0.07,20.21,14.96,3.13,695.79,Moderate Profitability
FDC,FDC,Pharmaceuticals - Indian - Bulk Drugs & Formln,1942.94,1915.72,305.06,289.43,400.24,400.24,440.16,18.75,17.42,15.7,19.39,7754.66,High Profitability
Fedbank Financi.,FEDFINA,Finance & Investments,1577.21,1507.55,244.7,216.08,1007.64,1007.64,1044.99,6.62,63.35,15.51,10.48,4588.5,High Profitability
Federal Bank,FEDERALBNK,Banks - Private Sector,23565.47,22238.51,3964.04,3931.42,19755.67,19755.67,19755.67,15.93,70.18,16.82,7.56,43515.9,High Profitability
Federal-Mogul Go,FMGOETZE,Auto Ancillaries,1695.58,1677.47,133.36,124.42,185.66,185.66,270.28,22.81,14.06,7.87,16.49,2531.17,Moderate Profitability
Felix Industries,FELIX,Engineering,33.9,,5.01,,7.16,7.16,7.52,4.05,16.64,14.78,,397.43,Moderate Profitability
Fermenta Biotec.,__NA__,Pharmaceuticals - Indian - Bulk Drugs,335.66,343.49,-24.01,-22.16,14.61,14.61,39.33,-7.84,8.2,-8.11,3.06,491.49,Loss-making
Fervent Synerg.,__NA__,Trading,24.31,10.36,-12.84,0.56,-12.81,-12.81,-12.77,-4.28,-52.53,-52.82,-34.81,48.6,Loss-making
FGP,__NA__,Miscellaneous,0.83,0.8,0.26,-0.28,0.21,0.21,0.22,0.22,14.46,31.33,6.47,8.77,High Profitability
Fiberweb (India),FIBERWEB,Textiles - Products,86.0,70.22,7.27,-1.41,8.38,8.38,12.37,2.53,13.34,8.45,5.1,129.28,Moderate Profitability
Fidel Softech,FIDEL,Computers - Software - Medium / Small,40.09,38.2,6.06,6.11,8.02,8.02,8.24,4.41,18.21,15.12,22.43,140.94,High Profitability
Fiem Industries,FIEMIND,Auto Ancillaries,2028.79,1907.51,165.71,157.51,226.0,226.0,284.65,62.96,13.24,8.17,26.67,3391.31,Moderate Profitability
Filatex Fash.,FILATFASH,Textiles - Products,171.16,150.22,8.82,9.97,13.44,13.44,14.05,0.05,6.68,5.15,1.07,1376.8,Moderate Profitability
Filatex India,FILATEX,Textiles - Manmade,4285.9,4306.84,110.66,94.43,179.54,179.54,252.05,2.49,5.55,2.58,12.65,2541.07,Low Profitability
Filtra Consult.,__NA__,Trading,99.72,,3.57,,4.66,4.66,4.9,4.34,4.49,3.5,21.11,90.04,Low Profitability
Fine Line Cir.,__NA__,Electronics - Components,24.28,24.24,0.11,0.01,0.54,0.54,1.12,0.23,4.32,0.45,3.67,42.18,Low Profitability
Fine Organic,FINEORG,Chemicals,1951.14,2128.24,367.55,401.33,496.37,496.37,552.52,119.88,24.64,18.86,29.06,15520.07,High Profitability
Finelistings,__NA__,Computers - Software - Medium / Small,13.59,,1.74,,2.49,2.49,2.55,6.86,18.69,12.8,52.2,21.82,Moderate Profitability
Fineotex Chem,FCL,Chemicals,568.97,553.64,121.03,116.54,158.9,158.9,164.92,10.82,26.08,21.27,38.68,4266.14,High Profitability
Finkurve Fin.,__NA__,Finance & Investments,90.04,83.98,16.07,13.43,27.39,27.39,27.86,1.27,30.7,17.85,11.22,757.35,High Profitability
Fino Payments,FINOPB,Banks - Private Sector,150.05,138.05,86.22,83.1,165.2,165.2,165.2,10.36,-775.16,57.46,8.68,2504.34,High Profitability
Finolex Cables,FINCABLES,Cables - Power,5014.39,4837.69,571.6,559.96,754.88,754.88,798.73,37.37,11.58,11.4,19.0,24451.93,Moderate Profitability
Finolex Inds.,FINPIPE,Plastics Products,4317.43,4223.07,455.3,452.22,649.94,649.94,765.96,7.34,13.55,10.55,11.51,20274.13,Moderate Profitability
First Custodian,__NA__,Finance & Investments,2.82,1.99,1.64,0.83,2.16,2.16,2.26,10.93,80.14,58.16,16.25,19.54,High Profitability
First Fintec,__NA__,Computers - Software - Medium / Small,1.79,2.91,-0.19,-0.4,-0.27,-0.27,0.87,-0.18,17.32,-10.61,-2.41,8.02,Loss-making
Firstsour.Solu.,FSL,Computers - Software - Medium / Small,6336.25,6222.61,514.73,522.53,733.07,733.07,993.29,7.31,15.09,8.12,14.67,14961.87,Moderate Profitability
Fischer Medical,__NA__,Trading,20.98,,1.84,,2.18,2.18,2.36,0.34,8.87,8.77,,3338.4,Moderate Profitability
Five-Star Bus.Fi,FIVESTAR,Finance & Investments,2182.85,2002.35,835.92,768.74,1584.44,1584.44,1609.01,28.58,73.15,38.29,15.77,24047.64,High Profitability
Flair Writing,FLAIR,Printing & Stationery,918.66,933.69,118.17,115.42,166.12,166.12,195.46,11.21,19.1,12.86,22.63,3152.38,Moderate Profitability
Flex Foods,__NA__,Food - Processing - Indian,121.28,112.31,-25.93,-31.66,-18.01,-18.01,-1.78,-20.83,-1.81,-21.38,-5.33,159.94,Loss-making
Flexituff Vent.,FLEXITUFF,Packaging,598.56,669.35,-184.1,-140.55,-171.27,-171.27,-111.95,-68.25,-19.62,-30.76,-28.39,83.07,Loss-making
Flomic Global,__NA__,Miscellaneous,332.16,306.55,2.19,1.27,11.67,11.67,32.66,1.21,9.37,0.66,8.63,131.73,Low Profitability
Flora Corporatio,__NA__,Trading,145.14,94.27,0.38,-0.05,0.51,0.51,0.52,0.44,0.36,0.26,11.27,9.88,Low Profitability
Flora Textiles,__NA__,Textiles - Processing,0.46,0.4,6.08,-0.74,6.17,6.17,6.21,10.13,34.78,1321.74,4570.37,14.66,High Profitability
Fluidomat,__NA__,Engineering,55.49,54.13,13.05,12.2,17.57,17.57,18.32,26.49,26.8,23.52,31.9,305.66,High Profitability
Foce India,FOCE,Trading,80.25,,15.89,,19.93,19.93,20.21,32.48,25.02,19.8,30.13,486.85,High Profitability
Focus Lighting,FOCUS,Electric Equipment,223.81,205.08,38.72,33.46,45.91,45.91,52.68,5.91,20.75,17.3,39.17,984.4,High Profitability
Fone4 Communica.,__NA__,Trading,142.45,,-6.5,,-6.17,-6.17,-6.02,-3.81,-4.26,-4.56,-39.32,7.67,Loss-making
Fonebox,FONEBOX,Trading,297.61,,3.43,,5.35,5.35,6.18,3.34,2.06,1.15,41.86,186.72,Low Profitability
Foods & Inns,FOODSIN,Food - Processing - Indian,1020.13,1007.8,36.72,46.74,110.53,110.53,126.93,6.47,11.79,3.6,15.13,888.28,Low Profitability
Forbes & Co,__NA__,Engineering,125.9,152.12,-4.46,14.4,25.98,25.98,27.63,-3.46,1.91,17.15,11.6,823.4,High Profitability
Forbes Precision,__NA__,Engineering,228.5,,29.71,,40.99,40.99,52.44,,22.49,13.0,,1805.79,Moderate Profitability
Force Motors,FORCEMOT,Automobiles - LCVs / HCVs,6992.13,6471.17,388.21,394.54,667.21,667.21,933.96,294.54,12.8,5.55,23.77,11903.8,Moderate Profitability
Fortis Health.,FORTIS,Healthcare,6892.92,6749.74,645.22,580.38,972.9,972.9,1315.4,7.93,18.39,9.19,10.38,36109.65,Moderate Profitability
Fortis Malar,__NA__,Healthcare,59.01,74.15,45.32,-15.71,-3.62,-3.62,5.74,24.18,-2.05,-13.42,-3.29,119.89,Loss-making
Fortune Interntl,__NA__,Trading,0.0,0.0,5.05,4.06,-0.16,-0.16,-0.14,7.17,,,-0.43,35.9,Unknown
Foseco India,FOSECOIND,Chemicals,489.01,477.41,74.59,72.98,85.48,83.51,91.3,116.79,15.1,13.39,31.71,2688.9,Moderate Profitability
Foundry Fuel,__NA__,Miscellaneous,0.0,0.0,-0.25,-0.19,-0.19,-0.19,-0.19,-0.31,,,,8.3,Unknown
Fourth Gen.,__NA__,Computers - Software - Medium / Small,0.06,0.03,-0.14,-0.14,-0.14,-0.14,-0.08,-0.39,-183.33,-233.33,,1.93,Loss-making
Franklin Indust.,__NA__,Trading,50.58,40.72,10.46,4.46,11.32,11.32,11.35,0.72,21.69,20.68,119.6,77.94,High Profitability
Franklin Leasing,__NA__,Finance & Investments,11.24,,0.19,,0.29,0.29,0.29,0.12,2.58,1.69,0.24,24.15,Low Profitability
